prefix,url
np,http://www.nanopub.org/nschema#
owl,http://www.w3.org/2002/07/owl#
rdf,http://www.w3.org/1999/02/22-rdf-syntax-ns#
rdfs,http://www.w3.org/2000/01/rdf-schema#
prov,http://www.w3.org/ns/prov#
xsd,http://www.w3.org/2001/XMLSchema#
uo,http://purl.obolibrary.org/obo/UO_
hasco,http://hadatac.org/ont/hasco#
heals,http://idea.rpi.edu/heals/ont/heals#
heals-kb,http://idea.rpi.edu/heals/kb/heals#
chear,http://hadatac.org/ont/chear#
uberon,http://purl.obolibrary.org/obo/uberon.owl#
sio,http://semanticscience.org/resource/
envo,http://purl.obolibrary.org/obo/ENVO_
chebi,http://purl.obolibrary.org/obo/CHEBI_
ncit,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#
obo,http://purl.obolibrary.org/obo/
doid,http://purl.obolibrary.org/obo/DOID_
uberon,http://purl.obolibrary.org/obo/UBERON_
stato,http://purl.obolibrary.org/obo/STATO_
snomed-ct,http://purl.bioontology.org/ontology/SNOMEDCT/
loinc,http://purl.bioontology.org/ontology/LNC/
rxnorm,http://purl.bioontology.org/ontology/RXNORM/
efo,http://www.ebi.ac.uk/efo/EFO_
tcga,http://idea.rpi.edu/ont/tcga#
tcga-kb,http://idea.rpi.edu/kb/tcga#
